,Manufacturer,Avarege price,Avarege kilometer,Avarege year,Avarege hand,Avarege engine capcity
0,hyundai,34478.57264957265,141324.35897435897,2012.4166666666667,2.551282051282051,1342.0726495726497
1,volkswagen,44932.68019093079,145564.91169451075,2011.307875894988,2.6610978520286395,1505.6276849642004
2,kia,45208.33858267716,317958.2559055118,2015.0393700787401,2.141732283464567,1355.9015748031495
3,suzuki,32426.25855513308,144180.5133079848,2011.6197718631179,2.258555133079848,1411.8403041825095
4,mercedes,176158.375,173089.54166666666,2014.1994047619048,2.511904761904762,2251.6101190476193
5,toyota,46002.426778242676,162776.74267782428,2011.4560669456066,2.2468619246861925,1592.7489539748954
6,mazda,36248.100558659215,174432.20111731844,2009.8826815642458,2.8621973929236497,1942.148975791434
7,skoda,67974.83805668016,141281.79554655871,2014.587044534413,2.2408906882591095,1513.1518218623482
8,chevrolet,40885.72327044025,127538.50314465408,2012.4779874213837,2.5157232704402515,1896.5220125786163
9,honda,35094.6866359447,176441.82949308757,2009.5437788018432,2.9308755760368665,1717.520737327189
10,seat,56495.115853658535,124535.23170731707,2013.75,2.6463414634146343,1408.2256097560976
11,bmw,158783.7786885246,108921.37704918033,2014.3688524590164,2.6885245901639343,2103.155737704918
12,renault,40913.46296296296,140815.66666666666,2013.8271604938273,2.265432098765432,1438.0061728395062
13,peugeot,42520.56962025316,117823.10126582278,2013.3417721518988,2.2721518987341773,1446.7278481012659
14,ford,38215.14743589744,159793.8076923077,2011.878205128205,2.551282051282051,1851.1923076923076
15,audi,122228.77564102564,123578.47435897436,2013.8589743589744,2.858974358974359,1924.0128205128206
16,subaru,44309.66129032258,167261.33870967742,2010.7983870967741,2.653225806451613,1911.725806451613
17,citroen,28430.66233766234,132246.5,2012.8181818181818,2.311688311688312,1480.6233766233765
18,opel,32634.403726708075,131133.84472049688,2013.6645962732919,2.2360248447204967,1444.857142857143
19,mitsubishi,23671.007518796992,190687.5939849624,2010.233082706767,2.819548872180451,1655.609022556391
20,nissan,34937.63513513513,133741.88513513515,2012.554054054054,2.2027027027027026,1530.6486486486488
21,fiat,24007.365384615383,128088.33974358975,2012.9038461538462,2.480769230769231,1307.8397435897436
22,volvo,58416.267326732675,145987.46534653465,2010.8316831683169,2.5445544554455446,2132.4356435643563
23,alphaRomeo,62201.77380952381,126203.69047619047,2012.7261904761904,3.0238095238095237,1650.0238095238096
24,daihatsu,11232.943181818182,194057.26136363635,2006.965909090909,3.3181818181818183,1296.6704545454545
25,mini,98722.19512195123,84396.4268292683,2014.1707317073171,2.682926829268293,1585.3048780487804
